Count of Title,,,Column Labels,,,,,,,,,,,,,,,English Proportion. 
584,,,English,English/Akan,English/Arabic,English/Hindi,English/Japanese,English/Korean,English/Mandarin,English/Russian,English/Spanish,English/Swedish,English/Taiwanese/Mandarin,English/Ukranian/Russian,Grand Total,,,0.717465753
,,Count of Title,401,1,1,2,2,1,2,1,5,1,1,1,419,,,About 0.72 of the films have English as their primary language.
